18:39:54. main() Recv histograms
18:39:54. recv_histograms() Reading histograms 3 count
18:39:54. recv_histograms() Reading histogram #0
18:39:54. recv_histograms() r packet_data_t bytes=24
18:39:54. recv_histograms() readed packet: type=0, size=12000, src_nodeid=2
18:39:54. recv_histograms() r histogram->array bytes=12000
18:39:54. recv_histograms() Reading histogram #1
18:39:55. recv_histograms() r packet_data_t bytes=24
18:39:55. recv_histograms() readed packet: type=0, size=12000, src_nodeid=4
18:39:55. recv_histograms() r histogram->array bytes=12000
18:39:55. recv_histograms() Reading histogram #2
18:39:55. recv_histograms() r packet_data_t bytes=24
18:39:55. recv_histograms() readed packet: type=0, size=12000, src_nodeid=3
18:39:55. recv_histograms() r histogram->array bytes=12000
18:39:55. recv_histograms() Hitograms ok
18:39:55. main() Recv histograms OK
18:39:55. print_histogram() [5233]=[0, 999), 
18:39:55. print_histogram() [2204974]=[1000, 1999), 
18:39:55. print_histogram() [4387313]=[2000, 2999), 
18:39:55. print_histogram() [6326198]=[3000, 3999), 
18:39:55. print_histogram() [8510691]=[4000, 4999), 
18:39:55. print_histogram() [10774064]=[5000, 5999), 
18:39:55. print_histogram() [12962924]=[6000, 6999), 
18:39:55. print_histogram() [15181090]=[7000, 7999), 
18:39:55. print_histogram() [17386366]=[8000, 8999), 
18:39:55. print_histogram() [19539262]=[9000, 9999), 
18:39:55. print_histogram() [21729528]=[10000, 10999), 
18:39:55. print_histogram() [23925060]=[11000, 11999), 
18:39:55. print_histogram() [26099047]=[12000, 12999), 
18:39:55. print_histogram() [28352192]=[13000, 13999), 
18:39:55. print_histogram() [30508953]=[14000, 14999), 
18:39:55. print_histogram() [32644503]=[15000, 15999), 
18:39:55. print_histogram() [34665423]=[16000, 16999), 
18:39:55. print_histogram() [36770096]=[17000, 17999), 
18:39:55. print_histogram() [38930452]=[18000, 18999), 
18:39:55. print_histogram() [41094617]=[19000, 19999), 
18:39:55. print_histogram() [43198822]=[20000, 20999), 
18:39:55. print_histogram() [45184325]=[21000, 21999), 
18:39:55. print_histogram() [47313083]=[22000, 22999), 
18:39:55. print_histogram() [49432563]=[23000, 23999), 
18:39:55. print_histogram() [51611520]=[24000, 24999), 
18:39:55. print_histogram() [53751952]=[25000, 25999), 
18:39:55. print_histogram() [55912986]=[26000, 26999), 
18:39:55. print_histogram() [58067642]=[27000, 27999), 
18:39:55. print_histogram() [60188306]=[28000, 28999), 
18:39:55. print_histogram() [62364598]=[29000, 29999), 
18:39:55. print_histogram() [64470312]=[30000, 30999), 
18:39:55. print_histogram() [66555700]=[31000, 31999), 
18:39:55. print_histogram() [68511214]=[32000, 32999), 
18:39:55. print_histogram() [70747907]=[33000, 33999), 
18:39:55. print_histogram() [72924006]=[34000, 34999), 
18:39:55. print_histogram() [75165085]=[35000, 35999), 
18:39:55. print_histogram() [77288733]=[36000, 36999), 
18:39:55. print_histogram() [79618488]=[37000, 37999), 
18:39:55. print_histogram() [81695291]=[38000, 38999), 
18:39:55. print_histogram() [83844186]=[39000, 39999), 
18:39:55. print_histogram() [86031045]=[40000, 40999), 
18:39:55. print_histogram() [88131378]=[41000, 41999), 
18:39:55. print_histogram() [90265499]=[42000, 42999), 
18:39:55. print_histogram() [92408890]=[43000, 43999), 
18:39:55. print_histogram() [94560956]=[44000, 44999), 
18:39:55. print_histogram() [96869235]=[45000, 45999), 
18:39:55. print_histogram() [99027706]=[46000, 46999), 
18:39:55. print_histogram() [101201865]=[47000, 47999), 
18:39:55. print_histogram() [103395753]=[48000, 48999), 
18:39:55. print_histogram() [105515046]=[49000, 49999), 
18:39:55. print_histogram() [107834347]=[50000, 50999), 
18:39:55. print_histogram() [110045882]=[51000, 51999), 
18:39:55. print_histogram() [112298127]=[52000, 52999), 
18:39:55. print_histogram() [114587744]=[53000, 53999), 
18:39:55. print_histogram() [116633260]=[54000, 54999), 
18:39:55. print_histogram() [118755128]=[55000, 55999), 
18:39:55. print_histogram() [120927022]=[56000, 56999), 
18:39:55. print_histogram() [123091581]=[57000, 57999), 
18:39:55. print_histogram() [125225258]=[58000, 58999), 
18:39:55. print_histogram() [127453106]=[59000, 59999), 
18:39:55. print_histogram() [129657030]=[60000, 60999), 
18:39:55. print_histogram() [131709551]=[61000, 61999), 
18:39:55. print_histogram() [133925109]=[62000, 62999), 
18:39:55. print_histogram() [136074609]=[63000, 63999), 
18:39:55. print_histogram() [138178344]=[64000, 64999), 
18:39:55. print_histogram() [140316957]=[65000, 65999), 
18:39:55. print_histogram() [142489382]=[66000, 66999), 
18:39:55. print_histogram() [144607054]=[67000, 67999), 
18:39:55. print_histogram() [146823790]=[68000, 68999), 
18:39:55. print_histogram() [148958190]=[69000, 69999), 
